,Q[cfs]
1.0,-2.9631355431770734
2.0,3.0368644568229275
3.0,-1.2054470409079898
3.0,1.2054470409079898
6.0,0.24231149773091587
7.0,-2.983423379785251
4.0,-1.7742651224838335
5.0,1.2020052055054085
7.0,2.983423379785251
5.0,-1.2020052055054085
8.0,-4.976270327989241
9.0,5.023729672010759
10.0,-4.0
11.0,4.0
12.0,-1.9867510490024775e-16
