Column1,Material,N_p,L_t,P_t,N_t,d_o,d_i,A,d_shell,V_tubes,V_shell,h_o,h_i,U,e,A_req,U_o_guess,T_o,dT_lm,m_dot_c,D_s/Lt
402425,3,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2541.325867,0.638039703,11.78396672,4475,65,46.3561575,23.37958717,0.067827494
402520,3,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2541.325867,0.638039703,10.46813917,5037.5,65,46.3561575,23.37958717,0.067827494
402615,3,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2541.325867,0.638039703,9.416651976,5600,65,46.3561575,23.37958717,0.067827494
432635,4,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2428.440943,0.621326352,47.93931915,1100,65,46.3561575,23.37958717,0.067827494
432730,4,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2428.440943,0.621326352,31.71924876,1662.5,65,46.3561575,23.37958717,0.067827494
432825,4,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2428.440943,0.621326352,23.70033756,2225,65,46.3561575,23.37958717,0.067827494
432920,4,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2428.440943,0.621326352,18.91775823,2787.5,65,46.3561575,23.37958717,0.067827494
433015,4,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2428.440943,0.621326352,15.74126897,3350,65,46.3561575,23.37958717,0.067827494
433110,4,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2428.440943,0.621326352,13.47814724,3912.5,65,46.3561575,23.37958717,0.067827494
433205,4,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2428.440943,0.621326352,11.78396672,4475,65,46.3561575,23.37958717,0.067827494
433300,4,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2428.440943,0.621326352,10.46813917,5037.5,65,46.3561575,23.37958717,0.067827494
433395,4,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2428.440943,0.621326352,9.416651976,5600,65,46.3561575,23.37958717,0.067827494
309514,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2872.220144,0.626359536,47.93931915,1100,65,46.3561575,23.37958717,0.064119941
309533,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2609.88127,0.673050629,52.34634274,1100,71.24357396,42.45344589,18.70270242,0.064119941
309609,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2872.220144,0.626359536,31.71924876,1662.5,65,46.3561575,23.37958717,0.064119941
309628,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2609.88127,0.673050629,34.63517414,1662.5,71.24357396,42.45344589,18.70270242,0.064119941
309704,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2872.220144,0.626359536,23.70033756,2225,65,46.3561575,23.37958717,0.064119941
